OTU ID	C0	C7	C15	C25	C40	HP7	HP15	HP25	HP40	LP7	LP15	LP25	LP40
OTU192	1	1 	0	0	0	1	0	0	0	0	0	0	0
OTU193	0	2 	0	1	1	4	0	1	0	0	2	0	2
OTU194	0	1 	0	0	0	0	0	0	0	1	0	0	0
OTU195	0	0 	0	0	1	0	0	0	0	0	0	0	2
OTU196	0	0 	0	0	0	0	0	0	0	0	2	1	0
OTU197	0	1 	0	1	5	0	0	2	6	1	0	2	10
OTU198	1	0 	0	0	1	0	0	2	1	0	0	0	0
OTU199	2	2 	3	4	2	2	4	5	1	2	3	3	0
OTU200	2	0 	2	2	3	0	1	0	0	0	0	0	0
OTU201	2	2 	5	5	5	1	8	8	2	3	5	7	4
OTU202	3	4 	8	6	12	5	9	6	11	2	6	15	10
OTU203	3	2 	0	0	0	3	1	0	1	0	0	0	0
OTU204	3	1 	1	0	4	2	2	0	4	0	1	4	1
OTU205	1	3 	4	8	2	3	1	1	1	2	3	0	5
OTU206	0	0 	0	1	1	0	0	0	0	0	0	0	1
OTU207	0	0 	2	0	7	0	1	0	2	0	1	0	2
OTU208	0	0 	3	1	0	0	0	2	0	0	1	0	0
OTU209	7	5 	3	4	3	6	3	1	2	3	3	1	0
OTU210	0	2 	2	1	1	1	1	1	2	2	1	3	0
OTU211	0	3 	1	1	0	2	2	1	1	3	1	0	1
OTU212	1	1 	1	1	0	0	1	0	0	1	2	0	0
OTU213	12	12 	6	9	7	15	9	7	6	9	3	15	9
OTU214	0	2 	0	0	1	3	0	1	0	1	0	1	0
OTU215	2	0 	1	1	1	0	2	0	3	0	2	2	2
OTU216	1	1 	0	3	1	1	2	1	3	0	3	1	1
OTU217	1	0 	0	0	0	0	1	0	1	0	0	0	1
OTU218	1	2 	3	4	0	1	3	1	1	2	1	1	1
OTU219	2	1 	4	0	3	0	3	5	4	1	4	3	4
OTU220	58	41 	47	41	57	40	55	55	68	41	74	42	78
OTU221	3	1 	1	2	0	0	1	1	1	1	1	1	1
OTU222	0	1 	0	1	0	1	0	0	2	0	0	0	0
OTU223	8	7 	8	4	1	4	8	1	2	9	4	2	9
OTU224	7	6 	14	14	18	6	10	12	19	5	10	9	23
OTU225	0	0 	0	0	1	0	0	0	0	0	0	0	0
OTU226	1	1 	2	1	1	1	0	0	0	0	2	0	1
OTU227	1	1 	6	6	6	0	4	7	0	1	6	0	2
OTU228	0	0 	2	0	1	0	2	2	0	0	1	0	0
OTU229	0	2 	1	3	5	1	3	1	1	2	3	0	2
OTU230	33	35 	10	11	9	34	25	27	26	35	21	21	34
OTU231	0	0 	0	0	0	0	0	0	3	0	0	0	0
OTU232	4	3 	3	3	5	4	2	2	1	1	8	3	4
OTU233	0	0 	0	0	0	0	0	1	0	0	0	0	0
OTU234	2	1 	0	0	0	1	0	0	1	1	1	1	0
OTU235	4	3 	1	1	1	3	1	1	3	2	3	3	0
OTU236	0	1 	2	3	2	1	4	1	1	0	5	2	0
OTU237	0	1 	0	0	0	1	0	0	1	0	0	0	0
OTU238	0	1 	1	3	0	1	1	1	1	0	2	3	0
OTU239	0	1 	0	1	0	0	0	1	0	1	1	0	0
OTU240	0	0 	2	0	0	0	0	0	2	0	1	0	0
OTU241	9	6 	11	5	9	8	8	7	4	4	5	3	5
OTU242	1	2 	0	0	1	2	1	0	0	2	1	1	0
OTU243	2	4 	1	2	0	2	0	1	1	5	1	1	1
OTU244	2	0 	0	1	0	0	0	2	0	0	0	0	0
OTU245	0	0 	0	1	0	0	0	0	1	0	0	1	0
OTU246	9	5 	11	9	14	4	5	8	15	6	9	4	9
OTU247	1	2 	0	1	0	1	1	3	2	2	0	2	0
OTU248	1	2 	0	1	0	2	0	1	0	1	0	0	0
OTU249	1	1 	1	0	0	1	1	2	0	0	2	2	0
OTU250	6	2 	7	9	5	4	5	6	2	0	5	2	4
OTU251	3	1 	0	1	3	1	0	2	2	0	1	1	2
OTU252	0	1 	0	1	1	2	2	1	0	0	1	1	0
OTU253	1	0 	4	8	2	0	13	12	4	0	1	1	0
OTU254	0	2 	0	0	2	2	0	0	1	1	0	0	1
OTU255	0	0 	0	0	1	0	0	0	1	0	0	0	0
OTU256	1	4 	4	3	3	4	3	1	1	3	5	2	5
OTU257	0	1 	0	0	0	1	1	0	0	0	0	0	1
OTU258	1	0 	0	0	1	0	0	0	2	0	0	0	3
OTU259	0	0 	1	1	0	0	1	0	0	0	1	0	1
OTU260	0	1 	0	1	2	1	0	0	0	1	0	0	0
OTU261	1	0 	2	3	2	0	1	2	0	0	0	0	0
OTU262	3	1 	2	1	1	2	3	2	0	0	1	2	1
OTU263	0	1 	0	1	0	1	0	0	1	0	0	0	0
OTU264	0	0 	0	0	0	0	0	0	0	0	0	0	1
OTU265	0	0 	0	0	0	0	0	0	0	0	0	0	1
OTU266	3	6 	0	2	2	5	2	2	3	7	5	3	4
OTU267	0	0 	0	2	0	0	0	0	0	0	0	0	0
OTU268	1	3 	5	5	6	2	4	3	4	4	7	3	2
OTU269	1	1 	3	1	1	1	2	0	0	1	1	1	2
OTU270	0	1 	0	0	1	1	0	0	0	0	0	1	0
OTU271	0	0 	0	0	1	0	0	0	0	0	0	1	1
OTU272	0	0 	0	0	1	0	0	1	2	0	0	2	1
OTU273	0	0 	1	1	0	0	0	1	1	0	0	0	0
OTU274	0	0 	0	1	1	0	0	1	1	0	1	1	0
OTU275	0	1 	1	0	0	1	4	0	0	0	0	2	0
OTU276	3	1 	3	0	1	0	1	2	3	1	1	1	4
OTU277	7	5 	5	2	1	5	9	7	8	4	4	5	3
OTU278	0	1 	0	1	0	0	2	0	0	1	0	2	1
OTU279	0	1 	0	0	1	1	1	0	0	0	2	1	1
OTU280	0	0 	0	2	0	0	0	0	0	0	0	0	0
OTU281	0	1 	0	1	0	1	0	0	0	0	1	0	1
OTU282	8	7 	5	10	13	6	6	4	4	7	8	9	4
OTU283	3	2 	13	6	6	2	6	4	2	2	3	2	3
OTU284	0	1 	0	1	0	1	0	0	0	0	1	1	1
OTU285	3	4 	6	0	2	3	4	6	2	4	3	1	2
OTU286	0	1 	2	3	1	0	2	0	6	1	1	2	3
OTU287	5	6 	4	2	8	9	4	5	6	2	5	7	7
OTU288	19	25 	19	8	13	28	18	23	17	21	16	36	22
OTU289	0	0 	0	0	0	0	0	0	0	0	0	0	1
OTU290	6	1 	7	4	5	1	6	5	3	1	4	2	5
OTU291	1	1 	2	2	1	0	0	0	1	2	1	2	0
OTU292	3	1 	2	1	1	1	0	3	0	0	1	0	2
OTU293	0	2 	2	4	7	0	3	0	1	4	4	2	0
OTU294	0	0 	2	0	0	0	0	0	0	0	0	0	0
OTU295	10	7 	11	13	6	8	8	6	10	6	11	8	8
OTU296	0	1 	0	1	1	2	0	0	0	0	0	1	0
OTU297	6	6 	8	5	7	8	9	12	8	4	7	10	11
OTU298	0	1 	0	0	1	1	0	0	0	0	0	0	0
OTU299	3	3 	5	2	2	1	5	1	3	5	4	3	4
OTU300	15	16 	16	14	15	13	20	15	22	18	11	12	31
OTU301	4	6 	9	8	3	8	6	1	9	3	11	6	5
OTU302	2	2 	2	1	0	0	0	0	0	3	0	0	0
OTU303	9	11 	3	4	4	14	3	4	11	7	10	3	8
OTU304	1	1 	1	1	2	0	2	1	0	1	0	3	0
OTU305	0	0 	0	1	0	0	0	1	0	0	1	0	1
OTU306	0	0 	2	0	0	0	2	2	2	0	0	0	0
OTU307	6	4 	7	12	12	7	13	9	6	0	4	9	11
OTU308	0	0 	0	1	0	0	1	1	1	0	0	0	0
OTU309	0	0 	0	0	0	0	0	0	0	0	1	0	1
OTU310	2	2 	5	1	0	2	1	2	2	1	2	3	3
OTU311	0	0 	0	0	0	0	1	2	0	0	0	5	0
OTU312	3	1 	1	3	0	1	1	1	0	1	1	0	0
OTU313	1	0 	0	0	0	0	0	0	0	0	1	3	0
OTU314	2	0 	0	0	0	0	0	0	1	0	0	0	0
OTU315	21	15 	15	9	18	12	23	18	17	17	12	16	19
OTU316	0	1 	1	0	0	1	0	0	0	1	0	0	0
OTU317	0	0 	0	0	0	0	0	2	0	0	1	0	1
OTU318	0	0 	0	0	0	0	1	0	2	0	0	1	1
OTU319	0	1 	0	0	0	0	0	0	0	2	0	1	0
OTU320	1	1 	0	0	4	0	0	0	1	1	1	1	2
OTU321	0	0 	2	1	0	0	1	0	1	0	0	1	0
OTU322	4	3 	0	2	3	1	2	3	1	4	2	4	3
OTU323	1	0 	0	0	0	0	1	0	0	0	0	0	0
OTU324	0	0 	1	0	0	0	0	0	0	0	0	0	0
OTU325	1	1 	1	0	0	0	2	5	0	1	0	0	0
OTU326	1	1 	2	2	1	1	3	2	3	0	1	3	1
OTU327	2	2 	2	5	2	3	5	7	3	1	3	1	5
OTU328	0	1 	0	0	0	0	1	0	0	2	1	0	1
