OTU ID	HP7	HP15	HP25	HP40	LP7	LP15	LP25	LP40
OTU220	40	55	55	68	41	74	42	78
OTU221	0	1	1	1	1	1	1	1
OTU222	1	0	0	2	0	0	0	0
OTU223	4	8	1	2	9	4	2	9
OTU224	6	10	12	19	5	10	9	23
OTU225	0	0	0	0	0	0	0	0
OTU226	1	0	0	0	0	2	0	1
OTU227	0	4	7	0	1	6	0	2
OTU228	0	2	2	0	0	1	0	0
OTU229	1	3	1	1	2	3	0	2
OTU230	34	25	27	26	35	21	21	34
OTU231	0	0	0	3	0	0	0	0
OTU232	4	2	2	1	1	8	3	4
OTU233	0	0	1	0	0	0	0	0
OTU234	1	0	0	1	1	1	1	0
OTU235	3	1	1	3	2	3	3	0
OTU236	1	4	1	1	0	5	2	0
OTU237	1	0	0	1	0	0	0	0
OTU238	1	1	1	1	0	2	3	0
OTU239	0	0	1	0	1	1	0	0
OTU240	0	0	0	2	0	1	0	0
OTU241	8	8	7	4	4	5	3	5
OTU242	2	1	0	0	2	1	1	0
OTU243	2	0	1	1	5	1	1	1
OTU244	0	0	2	0	0	0	0	0
OTU245	0	0	0	1	0	0	1	0
OTU246	4	5	8	15	6	9	4	9
OTU247	1	1	3	2	2	0	2	0
OTU248	2	0	1	0	1	0	0	0
OTU249	1	1	2	0	0	2	2	0
OTU250	4	5	6	2	0	5	2	4
OTU251	1	0	2	2	0	1	1	2
OTU252	2	2	1	0	0	1	1	0
OTU253	0	13	12	4	0	1	1	0
OTU254	2	0	0	1	1	0	0	1
OTU255	0	0	0	1	0	0	0	0
OTU256	4	3	1	1	3	5	2	5
OTU257	1	1	0	0	0	0	0	1
OTU258	0	0	0	2	0	0	0	3
OTU259	0	1	0	0	0	1	0	1
OTU260	1	0	0	0	1	0	0	0
OTU261	0	1	2	0	0	0	0	0
OTU262	2	3	2	0	0	1	2	1
OTU263	1	0	0	1	0	0	0	0
OTU264	0	0	0	0	0	0	0	1
OTU265	0	0	0	0	0	0	0	1
OTU266	5	2	2	3	7	5	3	4
OTU267	0	0	0	0	0	0	0	0
OTU268	2	4	3	4	4	7	3	2
OTU269	1	2	0	0	1	1	1	2
